"full_id","num_season","year_2season","num_inactive","start_month_mode_seasonPrim","end_month_mode_seasonPrim","peak_month_mode_seasonPrim","dur_day_mean_seasonPrim","dur_day_median_seasonPrim","amp_mean_seasonPrim","start_month_mode_seasonSec","end_month_mode_seasonSec","peak_month_mode_seasonSec","dur_day_mean_seasonSec","dur_day_median_seasonSec","amp_mean_seasonSec","superficie","osm_id","comm_fkt"
"w669074514",8,1,2,5,3,8,330,317.5,29.7670645063331,3,11,6,250,250,11.6740667930723,4934.7252315,669074514,"AMBOHIMIERA_AMBOHIMILANJA"
"w669074515",7,0,1,4,4,8,323.8,313,38.2826938097076,NA,NA,NA,NA,NA,NA,2533.80825683,669074515,"AMBOHIMIERA_AMBOHIMILANJA"
"w669074516",7,1,1,1,12,8,320.75,275,4.05312656703762,12,1,6,385,385,5.09665679012332,1146.37779832,NA,NA
"w669074517",7,0,1,1,1,9,338,376,7.88351697786861,NA,NA,NA,NA,NA,NA,3029.80766761,669074517,"AMBOHIMIERA_AMBOHIMILANJA"
"w669074518",8,0,2,2,2,9,308.2,336,27.4739237009531,NA,NA,NA,NA,NA,NA,993.079898706,NA,NA
"w669074519",5,0,0,1,5,1,389.25,363.5,28.9133395789516,NA,NA,NA,NA,NA,NA,1960.86524808,NA,NA
"w669074520",8,0,2,3,4,8,318.8,300,27.3790046958451,NA,NA,NA,NA,NA,NA,1606.00178433,NA,NA
"w669075784",6,0,0,5,4,12,346,350,8.1155426877538,NA,NA,NA,NA,NA,NA,2657.62485569,669075784,"AMBIABE_AMBINANINDRANOTELO"
"w669075786",7,0,2,2,2,9,316.6,286,12.2860157214345,NA,NA,NA,NA,NA,NA,2110.70195064,669075786,"AMBIABE_AMBINANINDRANOTELO"
"w669075787",6,0,1,4,5,11,335.5,342.5,16.3040276936564,NA,NA,NA,NA,NA,NA,16098.505862,669075787,"AMBIABE_AMBINANINDRANOTELO"
"w669075792",6,0,1,3,3,10,424,345,31.2801813658026,NA,NA,NA,NA,NA,NA,1174.47264526,NA,NA
"w669075793",6,0,0,5,2,10,350.4,357,13.0004778906574,NA,NA,NA,NA,NA,NA,1379.25895438,NA,NA
"w669075794",6,0,0,5,5,9,340.833333333333,346,7.07763918249692,NA,NA,NA,NA,NA,NA,3276.32873712,669075794,"AMBIABE_AMBINANINDRANOTELO"
"w669075796",6,0,0,4,4,9,361.6,369,20.1822749273472,NA,NA,NA,NA,NA,NA,1604.99650675,NA,NA
"w669075797",1,0,0,11,9,4,293,293,4.88129471569313,NA,NA,NA,NA,NA,NA,1411.85639446,NA,NA
"w669075798",4,0,0,4,4,8,347.25,346,3.87295170094639,NA,NA,NA,NA,NA,NA,1205.83947784,NA,NA
"w669075800",6,1,0,5,5,11,364.4,328,29.0887520660935,12,8,4,244,244,23.3252921722686,2504.22406176,669075800,"AMBIABE_AMBINANINDRANOTELO"
"w669076350",7,0,1,5,5,12,330.6,328,40.613737106077,NA,NA,NA,NA,NA,NA,3319.31941965,669076350,"AMBOHIMIERA_AMBOHIMILANJA"
"w669096055",7,1,0,5,5,10,283,341,16.3940432526632,12,6,3,182,182,20.5921335092463,41075.1023768,669096055,"KELILALINA_AMBALADINGANA"
"w669114294",6,0,0,6,5,10,354.6,343,37.8971522931775,NA,NA,NA,NA,NA,NA,15553.8451485,669114294,"AMPASINAMBO_AMPASINAMBO"
"w669115171",6,0,1,4,5,11,378.5,373,7.76854637852832,NA,NA,NA,NA,NA,NA,3816.73572901,669115171,"AMPASINAMBO_FIADANANA NORD"
"w669115694",6,0,2,6,6,9,323.333333333333,355,31.1291630370407,NA,NA,NA,NA,NA,NA,4891.15542018,669115694,"AMPASINAMBO_MORARANO"
"w669117509",5,0,0,6,6,2,376.75,380,20.6510018192914,NA,NA,NA,NA,NA,NA,23623.1838807,669117509,"MAROTOKO_MAROTOKO"
"w669117510",9,2,1,6,1,11,254.6,209,51.9297074162779,1,6,3,160.5,160.5,32.4973694267098,5842.58193015,669117510,"MAROTOKO_MAROTOKO"
"w669117517",9,2,1,6,6,10,273.8,217,26.0036835758705,12,6,3,166.5,166.5,18.0980112668828,29279.8924806,669117517,"MAROTOKO_MAROTOKO"
"w669119789",5,0,0,6,7,11,371.5,352,35.6556535207173,NA,NA,NA,NA,NA,NA,3639.64138148,669119789,"MAROTOKO_KIANJANOMBY"
"w669119791",5,0,0,7,7,10,368,366,15.5493920220847,NA,NA,NA,NA,NA,NA,22357.7039583,669119791,"MAROTOKO_KIANJANOMBY"
"w669130238",6,2,1,7,1,10,344,293.5,26.4239060562368,1,7,4,174,174,15.8794453921472,3630.75168377,669130238,"MAROTOKO_KIANJANOMBY"
"w669131073",7,0,2,7,7,11,296.75,297,18.6650625242227,NA,NA,NA,NA,NA,NA,1074.72608538,NA,NA
"w669159997",5,0,0,6,6,1,370,370.5,29.6258098677736,NA,NA,NA,NA,NA,NA,18598.9147117,669159997,"KELILALINA_AMBALADINGANA"
"w669159998",8,1,1,5,10,2,253.8,308,33.4899115261006,10,5,2,215,215,67.2592451635059,61963.6117799,669159998,"AMBIABE_SAHAVATANA"
"w669159999",6,0,1,2,12,9,347.6,364,20.5240770195317,NA,NA,NA,NA,NA,NA,3265.76189693,669159999,"AMBIABE_SAHAVATANA"
"w669160000",5,0,0,6,6,2,366.75,367,18.2686023617632,NA,NA,NA,NA,NA,NA,59588.4537117,669160000,"AMBIABE_SAHAVATANA"
"w669160012",6,0,1,4,1,8,319.6,286,17.2602361480536,NA,NA,NA,NA,NA,NA,2383.57087822,669160012,"AMBIABE_SAHAVATANA"
"w669160015",7,1,0,5,5,2,303.8,335,16.7906768186867,1,5,3,140,140,3.75295618825902,15339.6397321,669160015,"AMBIABE_SAHAVATANA"
